Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
SANDIKLI-GEDIZ (KÜTAHYA) [SOUTH EAST  2.6 KM],1,4.6,4.6,59.0
MECIDIYE-ALTINTAS (KÜTAHYA) [EAST 1.2 KM],1,4.6,4.6,35.0
ABAS-EMET (KÜTAHYA) [NORTH EAST  1.1 KM],1,4.8,4.8,50.0
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  2.5 KM],1,4.0,4.0,4.0
SENKOY-CINARCIK (YALOVA) [NORTH EAST  0.9 KM],1,4.2,4.2,15.3
YENICIFTLIK-BIGA (ÇANAKKALE) [NORTH EAST  2.5 KM],1,5.1,5.1,10.0
YENICEARMUTCUK-CAVDARHISAR (KÜTAHYA) [EAST 1.4 KM],1,4.4,4.4,10.0
YENICE-EMET (KÜTAHYA) [SOUTH EAST  2.5 KM],1,4.4,4.4,2.0
YENICE-EMET (KÜTAHYA) [SOUTH 2.0 KM],1,4.4,4.4,38.0
YENICE-EMET (KÜTAHYA) [NORTH WEST  0.3 KM],1,4.3,4.3,10.0
YENICE-EMET (KÜTAHYA) [NORTH EAST  3.5 KM],1,4.6,4.6,24.0
YENICAM-AYVACIK (ÇANAKKALE) [NORTH WEST  1.8 KM],1,4.1,4.1,10.0
YEMISLI-SIMAV (KÜTAHYA) [SOUTH 1.6 KM],1,4.3,4.3,22.0
YEGINLER-GEDIZ (KÜTAHYA) [NORTH WEST  1.7 KM],1,4.5,4.5,28.0
YAZILI-KOZLUK (BATMAN) [WEST 0.4 KM],1,4.8,4.8,100.0
YARIS-EMET (KÜTAHYA) [NORTH EAST  1.0 KM],1,4.7,4.7,18.0
YALIOBA-YENICE (ÇANAKKALE) [NORTH EAST  0.9 KM],1,4.3,4.3,28.0
YAKAKOY-YAPRAKLI (ÇANKIRI) [WEST 0.5 KM],1,4.9,4.9,40.0
YAGCILAR-ASLANAPA (KÜTAHYA) [SOUTH EAST  3.8 KM],1,4.4,4.4,10.0
