Latitude,Longitude,Magnitude,Depth,Geo_Cluster,Multi_Cluster
37.6233,35.5738,4.3,5.0,0,0
38.1285,38.5707,4.3,5.0,0,0
38.3392,37.7633,4.3,8.7,0,0
38.0253,36.452,4.9,3.9,0,0
36.0708,36.1268,4.3,7.5,0,0
38.8185,37.2358,4.1,5.6,0,0
36.3312,26.3663,5.1,117.9,1,-1
37.967,36.416,4.5,5.0,0,0
37.8813,36.2673,4.1,1.1,0,0
38.0435,37.3297,4.0,5.0,0,0
37.1182,28.4698,4.1,4.6,1,0
37.104,28.4697,4.0,5.0,1,0
38.4555,39.2145,4.5,4.9,0,0
38.0267,36.7783,4.1,5.0,0,0
37.6227,37.1962,4.0,9.7,0,0
37.9303,36.2428,4.2,5.0,0,0
37.9687,36.3267,4.2,5.0,0,0
38.0748,38.5457,4.3,5.0,0,0
39.4367,44.4647,4.1,5.0,0,0
38.1355,36.9247,4.2,5.3,0,0
39.0392,40.4357,4.5,2.8,0,0
37.2417,30.4783,4.0,8.4,1,0
38.0767,37.6942,4.1,5.0,0,0
38.061,37.8083,4.3,5.0,0,0
37.9188,36.2898,4.1,4.7,0,0
38.4827,37.9515,4.0,5.0,0,0
41.0363,33.6197,4.1,3.9,2,0
36.1438,35.8342,4.1,11.4,0,0
36.0307,35.8205,4.0,10.2,0,0
36.9917,36.5947,4.6,10.0,0,0
37.8598,36.6187,4.2,5.0,0,0
37.9425,36.257,4.0,2.7,0,0
37.9328,36.2887,4.6,3.2,0,0
38.2007,38.088,4.0,7.4,0,0
37.7002,36.4407,4.0,5.0,0,0
38.0668,36.5298,4.7,5.0,0,0
37.9158,36.2867,4.1,5.0,0,0
38.0702,37.0163,4.5,6.5,0,0
37.9502,36.2852,4.0,5.0,0,0
38.011,37.5388,4.3,6.6,0,0
38.2168,44.8113,5.4,5.0,0,-1
38.0173,36.3985,4.8,5.0,0,0
38.0102,36.5247,4.2,5.0,0,0
38.0317,36.4765,5.3,5.3,0,0
37.8955,36.6182,4.4,3.4,0,0
38.1842,38.0548,4.5,5.0,0,0
38.0933,37.7157,4.0,5.0,0,0
37.2653,36.678,4.0,6.2,0,0
38.081,37.1888,4.3,9.7,0,0
38.0333,36.4612,4.3,5.0,0,0
38.0165,36.4857,4.5,5.0,0,0
35.2548,35.9198,4.1,5.0,-1,0
37.8028,36.4233,4.2,5.0,0,0
38.0082,36.4525,4.6,2.8,0,0
37.8663,36.6243,4.1,2.6,0,0
37.9797,36.5428,4.0,5.0,0,0
36.3978,34.3465,4.5,5.0,-1,0
40.7942,31.5332,4.7,9.1,1,0
37.9912,37.5147,4.0,5.0,0,0
37.1545,36.2902,4.0,5.0,0,0
37.8418,37.3907,4.9,5.0,0,0
38.0722,37.0223,4.7,5.0,0,0
36.8018,36.5215,4.4,5.0,0,0
38.1468,38.6833,4.5,5.0,0,0
38.1388,38.7018,4.8,1.9,0,0
37.943,36.2685,4.3,5.0,0,0
36.9162,35.763,4.2,5.0,0,0
38.0035,37.4892,4.0,1.2,0,0
38.7008,35.2843,4.8,5.6,4,0
38.0933,38.4788,4.0,5.0,0,0
37.1178,36.929,4.0,7.0,0,0
38.068,38.4365,4.6,5.0,0,0
40.5212,28.2342,4.2,11.7,1,0
38.8083,37.4022,4.3,5.0,0,0
38.7485,35.2857,4.2,5.0,4,0
38.711,35.2668,4.8,5.0,4,0
37.7247,36.5705,4.5,5.0,0,0
36.1363,36.1193,4.0,6.5,0,0
38.2787,37.2712,4.0,5.0,0,0
36.3178,35.9185,4.0,7.3,0,0
37.9147,37.9187,4.0,1.3,0,0
38.9703,41.0587,4.0,5.0,0,0
36.7472,36.1313,4.7,1.2,0,0
38.0632,38.2787,4.4,5.0,0,0
36.243,36.168,4.0,6.7,0,0
38.1178,36.2043,4.1,5.0,0,0
37.8377,36.6277,4.0,5.0,0,0
37.8562,36.6385,5.1,3.2,0,0
